"Label";"Volume of sales index - Retail trade not in stores (NAF rev. 2, lev. Group, items 478 and 479) - Stopped series";"Codes"
"idBank";"010542971";""
"Last update";"29/02/2024 08:45";""
"Period";"";""
"2006-11";"77.18";"A"
"2006-10";"76.6";"A"
"2006-09";"77.32";"A"
"2006-08";"75.91";"A"
"2006-07";"77.81";"A"
"2006-06";"78.29";"A"
"2006-05";"76.39";"A"
"2006-04";"79.56";"A"
"2006-03";"76.57";"A"
"2006-02";"77.11";"A"
"2006-01";"75.83";"A"
"2005-12";"77.58";"A"
"2005-11";"77.65";"A"
"2005-10";"77.2";"A"
"2005-09";"75.81";"A"
"2005-08";"75.57";"A"
"2005-07";"75.74";"A"
"2005-06";"76.83";"A"
"2005-05";"74.79";"A"
"2005-04";"78.83";"A"
"2005-03";"76.33";"A"
"2005-02";"75.86";"A"
"2005-01";"74.41";"A"
